Instance;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH
C1_4_7;60.59203451871872;61.21919742226601;61.443076968193054;60.757096230983734;62.70004490017891;60.52466168999672;61.41483387351036;61.33150401711464;62.9397012591362;60.85730001330376;61.74535605311394
C1_4_1;66.19290285110473;61.68008828163147;61.11247727870941;61.4825541973114;61.895654797554016;60.03336443901062;63.48242740631103;61.58476867675781;61.43434307575226;68.87010910511017;62.77662532329559
C1_6_3;60.0456050157547;61.10041353702545;60.042823910713196;61.46573944091797;63.18552408218384;60.096566033363345;61.064127039909366;61.65789310932159;61.746865034103394;60.02735447883606;62.472581434249875
C1_2_1;60.01546221971512;60.04086843132973;60.00127837061882;60.03172987699509;60.12578064203262;60.13546031713486;60.052023857831955;60.08668041229248;60.02618137001991;60.177189379930496;60.003061056137085
CVRP_p3;60.00092480182648;60.0004401922226;60.001475143432614;60.002682948112486;60.002515983581546;60.00080051422119;60.00112001895904;60.003880095481875;60.00051507949829;60.00375919342041;60.001844215393064
C1_6_2;60.053036481142044;61.30675405263901;60.046972543001175;60.83214816451073;61.840470761060715;60.02644807100296;60.402117878198624;60.452143737248015;60.428109258413315;60.0355221927166;65.20743301510811
C1_4_4;60.64646753668785;61.72961360216141;61.066706746816635;61.314401268959045;61.10967963933945;60.013991206884384;60.94619780778885;61.2446648478508;61.32595872879028;61.11664882302284;61.32585310935974
CVRP_100;60.00071561336517;60.00094833374023;60.000400805473326;60.00067074298859;60.000710582733156;60.000331211090085;60.00056715011597;60.00040667057037;60.000523519515994;60.0006915807724;60.00063178539276
C1_2_5;60.07400553226471;60.10440800189972;60.13704566955566;60.00128657817841;60.084055709838864;60.034138560295105;60.1744375705719;60.042535877227785;60.05488703250885;60.05341382026673;60.004911518096925
C1_4_3;60.196145594120026;60.78177174925804;60.734125792980194;61.475068628787994;61.74395817518234;60.02336385846138;61.083448588848114;61.79294890165329;62.438014566898346;61.18541467189789;62.28247573971748
HFVRP_1;60.001114153862;60.00066964626312;60.0010730266571;60.00126740932465;60.259598803520205;95472.83802509308;60.00129487514496;60.00087447166443;60.00039646625519;60.002549052238464;60.00044708251953
C1_4_2;62.618955969810486;62.39208400249481;62.9451503276825;63.5707937002182;61.91748824119568;60.01569037437439;60.810792565345764;75.8973937034607;70.64416115283966;61.40768744945526;62.1709864616394
C1_2_3;60.02719719409943;60.06860437393188;64.7747121810913;60.09433763027191;60.0480676651001;60.10817952156067;60.03632769584656;60.04787874221802;60.06793987751007;60.09089357852936;60.02874937057495
C1_4_6;60.6443010866642;62.37146124243736;60.91048178076744;61.691649705171585;61.433666586875916;60.0177948474884;61.338522762060165;60.5661598443985;60.72430992126465;61.295479744672775;62.21553781628609
