Instance;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH
C1_4_7;62.13057342171669;61.454720199108124;61.61487227678299;60.3725688457489;64.76817339658737;60.92835056781769;61.814899414777756;61.989336013793945;61.63449427485466;61.62406629323959;61.68245342373848
C1_4_1;62.27906014919281;60.69985797405243;61.76087830066681;60.01966047286987;61.52412509918213;61.61640915870667;61.762557768821715;61.455758452415466;61.63483703136444;60.997218990325926;61.52399659156799
C1_6_3;60.01386640071869;60.019243001937866;61.316268348693846;60.032628417015076;60.04525361061096;61.68090462684631;61.28949906826019;60.94495537281036;62.35832440853119;62.177270722389224;63.00040724277496
C1_2_1;60.03047630190849;60.03695550560951;60.039500921964645;60.03353026509285;60.1816181242466;60.048498421907425;60.118666142225266;60.10796955227852;60.07541212439537;60.084563970565796;60.13576379418373
CVRP_p3;60.00105946063995;60.00143535137177;60.00221028327942;60.0011381149292;60.00147593021393;60.000588822364804;60.00057594776153;60.00072410106659;60.00026271343231;60.00305006504059;60.00233764648438
C1_6_2;60.03119719028473;60.01763617992401;60.463028609752655;60.043232917785645;60.13534373044968;60.475862979888916;61.23480302095413;60.788965582847595;61.36445331573486;61.09664595127106;64.57844948768616
C1_4_4;61.133163660764694;60.929683327674866;60.894886672496796;60.86328586935997;60.01117041707039;61.65421521663666;60.964766561985016;61.92591708898544;61.52246052026749;61.30710753798485;61.99180153012276
CVRP_100;60.00105495452881;60.00114517211914;60.001218819618224;60.000827836990354;60.00109362602234;60.00072946548462;60.0012081861496;60.001079249382016;60.002174854278564;60.00057981014252;60.00118827819824
C1_2_5;60.04508728981018;60.045895957946776;60.15649881362915;60.02951591014862;60.050810956954955;60.133696985244754;60.075299286842345;60.06598703861236;60.12271273136139;60.02135167121887;60.08553719520569
C1_4_3;61.89133733510971;60.91887351870537;61.581950694322586;60.20887929201126;60.011852860450745;62.12076497077942;61.823775589466095;61.30603206157684;60.96668413281441;60.94462978839874;62.766660422086716
HFVRP_1;60.00119762420654;60.00138237476349;60.00168623924255;60.00494315624237;95472.83802509308;60.00241916179657;60.0008339881897;1008.7310846090317;60.00050678253174;60.00172622203827;60.00148994922638
C1_4_2;61.68065531253815;68.31277875900268;61.15592803955078;60.735136938095096;60.011840319633485;61.56489360332489;61.42802679538727;61.79940910339356;60.593972301483156;61.689747023582456;73.94180259704589
C1_2_3;60.06897654533386;60.03791127204895;60.015800261497496;60.35837388038635;60.18210039138794;60.0532922744751;60.06284763813019;60.004925394058226;60.08343152999878;60.05748715400696;60.076820969581604
C1_4_6;61.315694600343704;61.58739471435547;63.24886980652809;60.61969390511513;60.021627336740494;63.07895585894585;61.487223118543625;60.65536794066429;60.907918214797974;60.869749665260315;61.589397847652435
C1_4_8;60.92351970076561;60.506527692079544;61.04637107253075;60.39066791534424;60.03044119477272;61.419690638780594;61.378429025411606;60.7001174390316;61.2872257232666;60.945316195487976;62.32483312487602
C1_2_10;64.17021316952176;92.20681073930528;61.368809355629814;60.34019054306878;317.1875765058729;60.594471878475616;60.11700616942512;66.58373911380768;60.10339007377625;60.0460845708847;60.64461886882782
C1_2_4;60.14360318183899;60.04779605865478;60.29412181377411;60.09480061531067;60.121947813034055;60.08165543079376;66.23405506610871;62.797786068916324;60.07176876068115;60.074146366119386;60.69054763317108
C1_6_1;60.03678758144379;60.06269774436951;60.7481828212738;60.03506450653076;60.12221932411194;60.339788460731505;60.69779722690582;60.77250443564521;62.33994619846344;60.93821165561676;62.7451224565506
CVRP_p14;60.01823453903198;60.00399477481842;60.002059674263;60.001778388023375;60.04039087295532;60.002072882652286;60.00324122905731;60.0013509273529;60.00120358467102;60.002370142936705;60.001127099990846
C1_2_8;60.016699600219724;60.19681580066681;339.52555103302;60.05191068649292;60.17716271877289;60.15720312595367;77.6855384349823;60.09632771015167;60.0656925201416;60.09869487285614;60.15371339321136
C1_2_9;60.03444136513604;60.02292924457126;60.26831791136;60.09522342681885;60.07314422395494;60.153780460357666;60.09310722351074;60.06624166170756;60.09302494261;60.10601305961609;60.02283234066434
C1_2_2;60.01878887414932;60.09606757760048;60.07307547330856;60.03729984164238;60.056552827358246;60.04534402489662;60.06249591708183;60.055529326200485;60.014742970466614;60.03664964437485;60.10993114113808
CVRP_1;60.001918816566466;60.002427554130556;60.001880812644956;60.001606297492984;60.00356786251068;60.000469827651976;60.000568222999576;60.00265169143677;60.00044991970062;60.000904130935666;60.00092453956604
HFVRP_p3;60.00149421691894;60.00258538722992;60.0007461309433;60.004040122032166;600.2830266952515;60.00081613063812;60.00044631958008;60.000464749336246;60.000877141952515;60.00181212425232;60.00103578567505
C1_4_5;62.443606281280516;60.599327254295346;61.73437283039093;60.72200980186462;60.0165195941925;62.26983768939972;62.142899656295775;62.108801531791684;61.93258233070374;61.553774333000185;61.664434385299685
HFVRP_p5;60.003027176856996;60.00110485553741;60.000823736190796;60.00151200294495;600.4956841468811;60.001045036315915;60.00274908542633;60.00068566799164;60.00268051624298;60.00230221748352;60.00186202526093
CVRP_3;0.2010488510131836;0.2010488510131836;0.2010488510131836;0.2010488510131836;0.2010488510131836;0.2010488510131836;0.2010488510131836;0.004247188568115234;0.002653360366821289;0.004574775695800781;0.008237600326538086
