Instance;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING
C1_4_8;60.00529581308365;61.09957695007324;61.16333892941475;60.309397131204605;61.89177966117859;60.847339153289795;61.689814269542694;60.95138028264046;61.8468514084816;60.53618577122688;61.30420735478401
C1_2_10;60.07292103767395;64.74434362517462;65.95899245474074;60.28274220890469;60.05768277645111;60.02526931762695;60.09846301078797;68.81982530487909;60.1532021522522;61.034319665696884;60.18948321872287
C1_2_4;60.093313455581665;60.17631483078003;60.15552067756653;60.058391904830934;63.610099577903746;60.06234681606293;60.04489026069641;60.19026789665222;64.17561943531037;60.079158902168274;62.38014602661133
C1_6_1;60.04868922233582;60.02921135425568;60.36996731758118;60.33594701290131;60.34302096366882;63.84053761959076;62.67691783905029;60.009267163276675;62.850549125671385;60.038056421279904;62.41806266307831
CVRP_p14;60.00237693786621;60.00145738124847;60.020423889160156;60.05205302238464;60.00956764221191;60.0008825302124;60.00113472938538;60.017581176757815;60.00695097446442;60.00120658874512;60.065732383728026
C1_2_8;60.07042484283447;60.04366025924683;60.17558245658874;100.26949527263642;60.1994295835495;60.06095862388611;60.22380166053772;60.081937885284425;60.048403811454776;60.079204297065736;61.42778403759003
C1_2_9;60.15239177809821;60.10561021169027;60.22212380833096;60.10885249243842;60.20343830850389;60.206704166200424;60.15052949057685;60.05803746647305;60.091740131378174;60.12006825870938;60.04138437906901
C1_2_2;60.04631707072258;60.0742743909359;60.11323410272598;60.220628172159195;60.262726068496704;60.14876914024353;60.0396853685379;60.22145062685013;60.146573543548584;60.108325242996216;60.022057205438614
CVRP_1;60.002050924301145;60.001891589164735;60.004604077339174;60.00266308784485;60.000731801986696;60.00341711044312;60.00047941207886;60.000352549552915;60.00071909427643;60.001233959198;60.00063955783844
HFVRP_p3;600.2830266952515;60.00180943012238;60.0012365102768;60.00061070919037;60.00059745311737;60.00070986747742;60.00464117527008;60.000608515739444;60.00086500644684;60.00066604614258;60.00073392391205
C1_4_5;60.01583921909332;61.27577180862427;62.62906177043915;61.07891118526459;62.05087707042694;62.874692463874815;62.19753687381744;61.23512303829193;62.05263111591339;60.45426549911499;62.13797173500061
HFVRP_p5;600.4956841468811;60.002104544639586;60.000955152511594;60.002166104316714;60.00075354576111;60.00421869754791;60.000834584236145;60.00085339546204;60.00400993824005;60.00092000961304;60.00406928062439
CVRP_3;0.2010488510131836;0.2010488510131836;0.2010488510131836;0.2010488510131836;0.003947257995605469;0.015393257141113281;0.004193782806396484;0.2010488510131836;0.02010488510131836;0.2010488510131836;0.2010488510131836
