Instance;FIRST_UNBOUND_MIN_VALUE_and_GREEDY_DESCENT;GLOBAL_CHEAPEST_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_COST_INSERTION_and_GREEDY_DESCENT;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;CHRISTOFIDES_and_GREEDY_DESCENT;PATH_MOST_CONSTRAINED_ARC_and_GREEDY_DESCENT;LOCAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;SEQUENTIAL_CHEAPEST_INSERTION_and_GREEDY_DESCENT;LOCAL_CHEAPEST_ARC_and_GREEDY_DESCENT
CVRP_p3;2.0379581451416016;1.241088628768921;0.8991589069366455;1.0575479507446288;0.8412394523620605;600.2617716789246;0.7568049192428589;0.8061255693435669;0.9857155561447144;0.8454970836639404;0.7587171077728272;1.2560071706771851
C1_6_2;60.06742602586746;60.41843119263649;60.02939307689667;62.19335854053497;60.801196962594986;701.9953751564026;64.50811862945557;60.8096484541893;61.224057763814926;60.0104703605175;60.412234365940094;60.054783910512924
C1_4_4;60.016438752412796;59.5714156627655;60.42581591010094;41.674521923065186;50.49422624707222;676.1796927452087;33.348881125450134;45.704430252313614;39.094248324632645;58.99520602822304;52.213725328445435;46.685629695653915
CVRP_100;0.031769084930419925;0.04595162868499756;0.036461257934570314;0.031964111328125;0.026957368850708006;0.9838176012039185;0.02274935245513916;0.03352220058441162;0.03437619209289551;0.0512810230255127;0.034835076332092284;0.048345756530761716
C1_2_5;23.567867827415466;8.393446207046509;13.959153079986573;9.346805310249328;7.618953585624695;611.4728260040283;7.221320390701294;7.03752031326294;7.382672238349914;14.656635904312134;7.788632082939148;14.511626148223877
C1_4_3;60.00927695631981;60.83820727467537;60.26127752661705;47.2433600127697;52.00738123059273;679.4587278366089;29.966053426265717;48.14665478467941;36.38706862926483;59.269562751054764;54.005906134843826;51.40360614657402
HFVRP_1;95472.83802509308;3.7598961114883425;0.30650031566619873;0.44851059913635255;0.5423999547958374;95472.83802509308;0.7563261270523072;0.5479842901229859;0.4362307548522949;0.2676940202713013;0.44313013553619385;0.4560748338699341
C1_4_2;60.02692379951477;58.78383684158325;59.80608696937561;47.90691697597504;53.83457763195038;35599.82306957245;30.414910531044008;45.889844703674314;33.85706417560577;59.70059328079223;51.037595987319946;51.24950041770935
C1_2_3;20.68125205039978;7.466840648651123;13.37753894329071;9.232744383811951;7.166663980484008;1069.9562859535217;5.4869297504425045;8.311352467536926;7.9500083208084105;13.29897141456604;8.488871073722839;11.481877207756042
C1_4_6;60.01675161719322;58.23785376548767;58.85979661345482;54.52886748313904;49.614312529563904;763.3926248550415;34.845854222774506;51.98548358678818;44.13720604777336;58.697697043418884;56.139973282814026;46.43326625227928
C1_4_8;60.00566837191582;60.1473773419857;58.221112340688705;48.17157590389252;48.7418877184391;664.4726848602295;31.084533005952835;43.91414240002632;37.10347601771355;58.902111649513245;50.34598594903946;50.70000693202019
C1_2_10;19.473497496710884;6.624897638956706;12.457055701149834;7.244531846046447;5.462830702463786;23735.196838378906;4.539017152786255;5.578314471244812;5.54869909286499;10.582232978608873;5.508327881495158;10.667794121636284
C1_2_4;26.073396825790404;8.501949882507324;12.085997104644775;8.982294487953187;6.43599693775177;21800.092132091522;6.132284498214721;7.882240581512451;7.448320007324218;12.81779386997223;6.270490336418152;11.96828670501709
C1_6_1;60.06880762577057;60.66412205696106;60.021041941642764;60.463176655769345;61.4483989238739;702.6307845115662;63.30203938484192;61.00563247203827;61.01072878837586;60.02252488136291;60.35265712738037;60.02293770313263
CVRP_p14;55.83268501758575;26.52532033920288;26.29793496131897;24.64432785511017;35.18801958560944;605.6669354438782;23.25461890697479;31.717553114891054;35.43132843971252;24.14683334827423;35.395530700683594;45.263796305656435
C1_2_8;29.805336046218873;9.972123098373412;18.688117718696596;9.299066925048828;8.347307777404785;28545.153350830078;7.726500511169434;8.537819027900696;6.907953834533691;15.320929193496704;8.586078643798828;12.912075018882751
C1_2_9;24.032461325327557;7.719196319580078;15.209685855441624;7.908538341522217;7.242164002524482;609.0303635597229;6.003774483998616;7.734464804331462;7.516487704383002;12.869925419489542;8.2079529232449;12.99882690111796
C1_2_2;19.28803551197052;7.097473055124283;12.790075093507767;6.1006640791893005;7.245407372713089;609.0324854850769;6.829550713300705;7.049661546945572;7.670574128627777;10.512005120515823;5.6019909381866455;11.614935398101807
CVRP_1;0.4894984722137451;0.40609045028686525;0.2830351829528809;0.398183798789978;0.28696815967559813;2365.605478286743;0.5379139661788941;0.2949143648147583;0.48845582008361815;0.22548398971557618;0.24044270515441896;0.34665560722351074
HFVRP_p3;600.2830266952515;2.121263599395752;0.6692984580993653;0.8146838426589966;1.073928427696228;600.2830266952515;0.8334118843078613;0.8182400465011597;0.9665818214416504;0.6118666648864746;1.0391265869140625;1.1794569730758666
C1_4_5;60.01598494052887;60.45720369815827;59.976135754585265;53.579314494132994;54.41814968585968;675.0857138633728;34.65051980018616;52.991471719741824;44.29749286174774;59.43683943748474;56.14895632266998;53.95113859176636
HFVRP_p5;600.4956841468811;2.496356749534607;2.322585105895996;1.6808999061584473;2.628308320045471;600.4956841468811;2.0248012781143188;3.48678834438324;1.7022800207138062;2.011048173904419;2.805840253829956;3.0330856084823608
CVRP_3;0.2010488510131836;0.2010488510131836;0.2010488510131836;0.0069234371185302734;0.2010488510131836;0.2010488510131836;0.008644342422485352;0.00460362434387207;0.0043790340423583984;0.2010488510131836;0.2010488510131836;0.2010488510131836
