Instance;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;BEST_INSERTION_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING
C1_2_3;9.230100607872009;8.51412935256958;9.092666578292846;8.533455324172973;9.004818797111511;8.53153395652771;11.08275556564331;7.871980166435241;8.724957489967347;7.1239560604095455;8.69830675125122;8.82212462425232;8.416062664985656;7.237806701660157;9.719609999656678
C1_6_3;59.982023644447324;59.52040936946869;60.025917172431946;60.00455570220947;59.86195287704468;60.00320529937744;60.00337564945221;59.97073979377747;59.982098889350894;59.969948816299436;60.0035058259964;59.986438846588136;60.00485167503357;59.51954851150513;59.913819146156314
C1_2_10;7.783730673789978;5.874617195129394;9.151426696777344;6.775595998764038;8.988419580459595;7.791715383529663;10.084584736824036;8.699783396720886;6.576199054718018;7.31370370388031;9.245833611488342;6.593332314491272;5.763470339775085;4.968020081520081;9.178885364532471
C1_2_9;6.976460242271424;6.859827446937561;7.246802496910095;7.044281482696533;7.751677346229553;8.361760449409484;6.961552619934082;8.287229633331298;7.199232792854309;8.593371319770814;7.683568000793457;8.959087538719178;5.9747045040130615;7.862553930282592;7.339795660972595
C1_2_6;4.323722529411316;8.507166600227356;6.428303170204162;5.543303990364075;8.744544887542725;6.451670598983765;4.216157698631287;4.627629208564758;8.951928162574768;6.839047884941101;4.163826370239258;6.779830074310302;4.403070497512817;5.6865962266922;6.561753153800964
C1_4_6;39.37185690402985;32.452066445350646;36.82197868824005;30.67267942428589;23.911555433273314;27.02128472328186;33.59695065021515;39.380239844322205;38.75338504314423;32.210654330253604;26.123705196380616;32.93988108634949;29.909808444976807;26.760049271583558;32.66700675487518
C1_4_4;36.09356963634491;42.88706345558167;33.565442657470705;36.602865886688235;34.325632739067075;43.32199144363403;33.14646978378296;20.59213171005249;41.42986533641815;22.75972537994385;34.85092895030975;47.191942834854125;23.42638611793518;46.50385715961456;41.325114250183105
C1_2_2;7.6157243013381954;7.892968153953552;4.4264808893203735;5.259894061088562;7.046120715141297;6.40078752040863;5.1360605478286745;9.330099439620971;6.249434852600098;6.760257148742676;5.511095666885376;7.293373656272888;7.245219159126282;6.245276522636414;7.548828673362732
C1_6_5;57.90321252346039;59.48421175479889;59.212943649291994;58.17609815597534;59.23391609191894;59.54580750465393;59.89469697475433;59.751072716712955;59.926819920539856;59.27027614116669;58.81391139030457;59.3833149433136;59.904096245765686;58.99703176021576;59.339089846611024
C1_2_1;5.8045737743377686;5.7405122995376585;5.751989102363586;4.480450057983399;5.6686076641082765;6.980624651908874;4.658879137039184;5.479121303558349;6.527251386642456;5.923161768913269;5.493439769744873;6.213914895057679;6.961350655555725;5.0500324010849;5.721859312057495
C1_4_3;32.04353065490723;43.717004895210266;23.209979629516603;25.414577412605286;28.18405153751373;36.072331476211545;43.280401134490965;43.54875531196594;39.768406820297244;53.49800775051117;44.73925576210022;34.92088048458099;36.512751412391665;25.375731229782104;36.27902884483338
C1_6_2;59.8798903465271;60.0035507440567;59.84612226486206;59.85821435451508;59.44546942710876;58.610745668411255;60.004556560516356;59.95860893726349;59.93828642368317;59.902728414535524;59.87283496856689;60.0032877445221;59.91709921360016;60.00533127784729;60.00441319942475
C1_4_7;22.978334403038026;31.66888506412506;36.88252627849579;44.42361924648285;34.397632241249084;28.834536337852477;29.53318598270416;26.433489942550658;44.82296812534332;28.225653886795044;40.74559848308563;31.04200346469879;25.860591053962708;24.37676329612732;30.008153200149536
C1_6_4;58.85981669425964;59.96090090274811;59.44546518325806;60.003086400032046;59.985137581825256;59.621250772476195;60.00057969093323;59.983814692497255;60.00650033950806;59.930057072639464;60.00518367290497;59.98866715431213;59.75594639778137;59.49513244628906;60.00361280441284
C1_4_8;48.050631284713745;40.1716582775116;34.97418119907379;50.5171914100647;43.761526465415955;30.371515011787416;37.095847964286804;34.361740469932556;33.0972115278244;31.962607502937317;42.675916004180905;27.8491881608963;37.917963194847104;30.53514721393585;40.043405294418335
