Instance;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH
C1_2_3;8.732967877388;7.267699122428894;8.905487179756165;6.977816152572632;10.098039293289185;8.671015238761902;11.050583171844483;7.1668939113616945;7.879267048835755;9.79053840637207;8.942239880561829;8.847444200515747;8.47715139389038;7.217925500869751;7.968627452850342
C1_6_3;59.89554972648621;59.98359498977661;60.00428667068481;59.676303720474245;59.99727702140808;59.94412889480591;59.92986190319061;60.004713606834414;59.39746367931366;59.932426238059996;59.915606307983396;60.004364252090454;59.9557599067688;60.00352489948273;60.00364997386932
C1_2_10;7.493749690055847;8.762694072723388;6.565352606773376;10.146502327919006;9.424845194816589;8.19624125957489;9.128382539749145;4.360754132270813;8.278948259353637;7.9882598400115965;9.090732288360595;10.623608732223511;7.771485757827759;7.138059663772583;6.865354418754578
C1_2_9;7.490100932121277;8.58739368915558;7.056772065162659;6.02040913105011;8.458134651184082;7.805081748962403;7.701677989959717;6.717811560630798;7.872447943687439;7.893689346313477;6.666104698181153;6.952201795578003;6.120725512504578;7.587014675140381;6.742876267433166
C1_2_6;6.523316860198975;6.644344806671143;6.850180459022522;6.113413715362549;6.364430594444275;9.095760846138;4.134990453720093;5.587170481681824;6.946487593650818;6.390902352333069;9.178038787841796;6.794036555290222;5.680528044700623;6.611608624458313;4.406469321250915
C1_4_6;30.08437900543213;48.99180326461792;35.276735711097714;33.42775502204895;26.149792981147765;28.548994255065917;36.945390701293945;34.5905999660492;40.811178874969485;31.633661890029906;25.767564010620116;30.023663640022278;26.25126540660858;33.43934617042542;34.73815619945526
C1_4_4;34.86724398136139;26.773481845855713;32.597934699058534;18.447565221786498;39.34331362247467;35.16538062095642;42.172114205360415;20.66716089248657;32.05011622905731;25.396251440048218;44.529514050483705;34.02478814125061;49.26153633594513;25.36235816478729;31.35809564590454
C1_2_2;7.365356850624084;5.745683217048645;6.436077833175659;7.129024195671081;6.972704005241394;6.779476284980774;8.098190689086914;6.654412245750427;8.467934942245483;7.042641282081604;7.360258293151856;8.134712767601012;5.110895133018493;9.348382663726806;7.159131646156311
C1_6_5;59.41207737922669;59.328944420814516;59.170050048828124;60.052713465690616;58.79685213565826;59.277791714668275;58.98982105255127;58.76101706027985;59.89925389289856;58.24156484603882;57.92327723503113;59.89963350296021;59.66349086761475;59.96782906055451;59.13020386695862
C1_2_1;6.49165518283844;6.139650154113769;4.855545163154602;4.567728900909424;5.592765212059021;6.269463849067688;4.487705373764038;4.8541007995605465;5.627778148651123;5.636877465248108;5.753147172927856;7.357714080810547;5.916251802444458;4.547970199584961;7.250656723976135
C1_4_3;34.48833575248718;40.97649850845337;38.55787227153778;48.983868908882144;36.662197256088255;34.555916213989256;41.771483826637265;38.01953673362732;33.94528765678406;36.98919847011566;29.225600147247313;38.904141426086426;40.506929874420166;34.60573062896729;35.27806558609009
C1_6_2;60.00405309200287;60.028138279914856;60.003072309494016;60.00357594490051;59.91737551689148;59.130233478546145;59.73127644062042;59.54513132572174;58.803484964370725;59.846382117271425;60.00453705787659;60.00484321117401;60.003910756111146;60.00578079223633;59.88865315914154
C1_4_7;24.315221977233886;25.39470500946045;24.622403502464294;37.46208167076111;32.74680647850037;25.024886178970338;30.956136965751647;22.388581657409667;34.5150687456131;31.588818311691284;28.535552787780762;40.47236804962158;32.79455058574676;32.96130940914154;38.06512260437012
C1_6_4;60.00476913452148;59.66304421424866;60.00016884803772;59.481533312797545;59.79671194553375;59.963627338409424;60.00350942611694;59.9223623752594;60.00438737869263;58.47472410202026;60.00456013679504;60.00349078178406;59.076060843467715;59.816383075714114;59.47209362983703
C1_4_8;39.74457335472107;43.53446877002716;33.034869122505185;34.825705599784854;41.716495060920714;37.27137732505798;36.83374681472778;37.457734441757204;29.099718403816222;25.41623191833496;40.23737366199494;36.95158734321594;30.25776767730713;30.949579977989195;26.905616211891175
