Instance;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH
CVRP_100;60.00154529677497;60.00091942151388;315.7922282218933;60.000507540173004;60.00081894132826;60.00019219186571;60.00069925520155;60.000417126549614;60.00098056263394;60.00074362754822;60.0007475482093
C1_2_5;60.00763156414032;60.047676944732665;60.098954749107364;60.06617658138275;60.10146367549896;60.071340036392215;60.02217214107513;60.09145188331604;60.08302519321442;60.03011918067932;60.09488799571991
HFVRP_1;60.001600474119186;60.000736117362976;60.00025922060013;60.00113582611084;60.0009201169014;60.00198715925217;60.00079137086868;60.00114867091179;60.00049167871475;600.1503252983093;60.001881539821625
C1_2_4;60.0906359910965;60.06305458545685;60.068357372283934;60.087794876098634;60.12387776374817;60.093538475036624;60.05294532775879;60.14030740261078;60.235000896453855;60.00271608829498;60.04411458969116
C1_6_1;60.0197113275528;61.955479097366336;65.47027881145478;61.73209342956543;60.509871292114255;60.40162284374237;62.108069491386416;60.01962924003601;60.48081285953522;60.06138644218445;60.7169365644455
CVRP_p14;60.001445323228836;60.001560002565384;60.00126075744629;60.00152072310448;60.00112271308899;60.0012004673481;60.00103324651718;60.001114040613174;60.00069484114647;60.019443333148956;60.00654426217079
C1_2_8;60.04662652015686;60.19240810871124;60.10442111492157;60.020671701431276;60.10115144252777;60.12037258148193;60.10274345874787;60.05952272415161;1225.686799955368;60.11809487342835;60.07565784454346
CVRP_1;60.00189028467451;60.00081460816519;60.00209675516401;60.00347770963396;60.00047649656023;60.00131205150059;60.0039758001055;60.00113793781826;60.00060319900513;60.00034410612924;60.00186698777335
HFVRP_p3;60.00064533948898;61.603295028209686;60.002196967601776;60.00050076842308;61.04871255159378;60.00097540020943;63.06929135322571;60.40264320373535;60.00249418616295;7696.0488176345825;60.00165820121765
HFVRP_p5;60.001984655857086;60.00091436505318;60.00066414475441;60.00081104040146;60.00243362784386;60.00114178657532;60.004183650016785;60.00163093209267;60.00416910648346;600.2647972106934;60.00067949295044
C1_4_9;60.15137318202427;60.766104561941965;60.95351021630423;60.59511859076364;60.516399656023296;60.69756140027727;61.02835668836321;60.47345488412039;60.56437305041722;60.42568782397679;61.41395122664316
C1_2_7;60.001953431538176;60.11164409773691;60.092083079474314;60.09524842670986;60.08008296149118;60.033456802368164;60.11801678793771;60.064028126852854;60.03380284990583;60.03498108046396;60.0178588117872
C1_4_10;60.21081614494324;60.26868414878845;60.4099907875061;60.19126401628767;60.26935172080994;60.082891259874614;60.78373772757394;60.46400819505964;60.24674425806318;60.434719698769705;61.23338842391968
C1_4_2;60.15442058018276;60.19867140906198;60.45625220026289;60.73334278379168;60.23074769973755;60.275297437395366;60.57880531038557;60.713086060115266;60.47196381432669;60.4392009803227;60.93412252834865
C1_4_5;60.572871582848684;61.09235119819641;60.73455991063799;60.28922322818211;60.278516973767964;60.30007815361023;60.95176495824541;60.502290793827605;60.796187366758076;60.12828442028591;60.95738336018154
C1_6_4;60.01754184563955;64.07839179039001;63.422812501589455;62.519272804260254;61.6148324807485;60.88330487410227;61.01402926445007;60.02074650923411;61.36655879020691;60.05468817551931;60.88281770547231
C1_6_5;60.051506678263344;63.38542886575063;61.708178559939064;571.9423662821451;62.17233097553253;60.97897152105967;61.62074017524719;60.0103391011556;61.758295814196266;60.04813802242279;61.649190068244934
C1_4_7;60.001758456230164;60.17226958274841;60.332526763280235;60.46285434563955;60.97080409526825;60.717595974604286;60.633323311805725;60.75989043712616;61.00618056456248;60.383962869644165;60.594106793403625
C1_4_3;60.290536880493164;60.41342747211456;60.7874618768692;60.27824358145396;60.206631580988564;60.31158618132273;60.6556963523229;60.689401268959045;60.59277053674062;60.317495902379356;61.21190536022186
C1_2_3;60.20093170801798;60.078786770502724;60.15982627868652;60.067901968955994;60.15697809060415;60.073281367619835;60.064473708470665;60.20446459452311;60.13247140248617;60.069954673449196;60.09059592088064
C1_4_6;60.29547115166982;60.16666797796885;60.425235668818154;60.493108908335365;60.217048128445946;60.820523142814636;61.14458719889323;60.875718673070274;60.384729941686;60.326664408047996;60.82969558238983
C1_4_8;60.14758167266846;60.0101514339447;60.49300661087036;60.50757832527161;60.031302499771115;60.544861459732054;60.62475142478943;60.67538547515869;60.34138536453247;60.27653560638428;61.13423538208008
C1_2_10;60.063406586647034;60.18495372931162;60.07762145996094;60.05367155869802;60.104968309402466;60.03160858154297;60.046392599741615;60.04615557193756;60.177298148473106;60.05515285332998;60.025530298550926
C1_2_9;60.0986080567042;60.11903472741445;60.10363860925039;60.039856950441994;60.05619752407074;60.056124329566956;60.048316876093544;60.102771282196045;60.068788170814514;60.02178680896759;60.06061267852783
C1_2_2;60.103003899256386;60.08871070543925;60.147937734921776;60.090837041536965;60.06525913874308;60.169799288113914;60.09103441238403;60.06644610563914;60.08666853109995;60.01945642630259;60.06456323464712
