Instance;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH
C1_4_4;60.330978751182556;60.30442173480988;60.61389062404633;61.24748706817627;61.54423716068268;60.747285509109496;61.00689482688904;60.71587219238281;60.07259821891785;60.68903641700744;60.99358932971954
CVRP_100;60.00095123714871;60.000365787082245;60.00022090805901;60.000452280044556;60.000549130969574;60.000524308946396;60.00038239690993;60.0007274945577;60.00042878256904;60.00100305345323;60.00039196014404
C1_2_5;60.058862280845645;60.07720234394073;60.077897453308104;60.098063015937804;60.087833404541016;60.24539308547973;60.03345851898193;60.092337775230405;60.02351322174072;60.11012043952942;60.094034457206725
HFVRP_1;60.001160234212875;600.1503252983093;60.000372529029846;60.00061410665512;60.00215232372284;60.00070786476135;60.0007201731205;60.000984877347946;60.00053432583809;60.00063881278038;60.00030601024628
C1_2_4;60.048049449920654;60.034071040153506;60.09904193878174;60.165454912185666;60.03974606990814;60.09367887973785;189.29448685646057;60.01328547000885;60.150088858604434;60.24564468860626;60.17442021369934
C1_6_1;60.00730831623078;60.0892255783081;60.48857955932617;62.35173313617706;61.462146401405334;60.61165542602539;61.87464709281922;60.94785258769989;61.994283652305604;60.01711084842682;65.27900981903076
CVRP_p14;60.00115039944649;60.001466542482376;60.0070096552372;60.00106155872345;60.000882774591446;60.00199595093727;60.00128084421158;60.00187385082245;60.0074787735939;60.00122627615929;60.00762602686882
C1_2_8;60.02689232826233;60.10822927951813;60.18290207386017;60.09665915966034;60.11385335922241;60.03837234973908;60.108358073234555;60.04356856346131;60.07627186775208;60.08253865242004;60.06139280796051
CVRP_1;60.00290870666504;60.00051515442984;60.00047608784267;60.00067237445286;60.002714838300435;60.00085612705776;60.00333775792803;60.0007587160383;60.0004392010825;60.001459292003084;60.0009057862418
HFVRP_p3;61.833402782678604;7696.0488176345825;60.00054705142975;66.53682342171669;60.00063136219978;60.00286331772804;60.00029194355011;60.00068297982216;64.62557449936867;66.00139817595482;54.48187297582626
HFVRP_p5;60.00332644581795;600.2647972106934;60.000763177871704;60.00214421749115;60.00065419077873;60.00176313519478;60.000774562358856;60.00053188204765;60.00075498223305;60.00208440423012;60.004082560539246
C1_4_9;60.632629701069426;60.23180879865374;60.38788267544338;60.48876987184797;60.13947480065482;60.455869913101196;60.56585737637111;63.86068146569388;60.973924943379;60.479670660836355;61.14757299423218
C1_2_7;60.01188744817461;60.08560521262033;60.11232212611607;60.132239648274016;60.10953147070749;60.12663384846279;60.06301498413086;60.213893686022075;60.05622485705784;60.08058057512556;60.0939564704895
C1_4_10;60.85895252227783;60.23585183279855;60.0013941356114;60.85230319840567;60.22976895741054;60.313719919749666;60.55639604159764;60.82354426383972;60.13362111364092;60.152845348630635;60.580534900937764
C1_4_2;60.72535753250122;60.00903228351048;60.261345284325735;60.45612055914743;60.001350436891826;60.356107984270366;60.650923115866526;60.93409602982657;60.039427042007446;60.2283250944955;60.6708459513528
C1_4_5;60.635975871767315;60.30700513294765;60.063625471932546;65.69019297191075;60.407831396375386;60.09874715123858;76.82675157274518;61.2100304876055;61.60580096926008;60.335314989089966;60.35188637460981
C1_6_4;60.013821840286255;60.049172600110374;60.653150836626686;192.36023227373758;61.24322644869486;62.017494201660156;62.55189617474874;61.938348491986595;62.70948497454325;60.004359443982445;63.338833729426064
C1_6_5;60.02323389053345;60.02411039670309;61.69262929757436;61.64575517177582;61.71941316127777;62.2103822628657;62.52265008290609;62.08800586064657;63.019639213879906;60.016699155171715;61.75844899813334
C1_4_7;61.132216016451515;60.353326519330345;60.4616634051005;60.86879515647888;60.543413956960045;60.18721854686737;60.33679759502411;60.705402970314026;60.19412302970886;60.711596846580505;60.99036435286204
C1_4_3;60.47159584363302;60.319752057393394;60.16370554765066;60.760762890179954;60.00095514456431;60.02760632832845;60.519022742907204;61.18327057361603;60.18912148475647;60.41650068759918;60.562066197395325
C1_2_3;60.10402627786001;60.00109060605367;60.000972867012024;60.189128955205284;60.07224055131277;60.135644594828285;60.04908867677053;60.0398135582606;60.066187938054405;60.135743856430054;60.04025483131409
C1_4_6;60.68019151687622;60.15723339716593;60.10834403832754;60.637401700019836;60.59245546658834;60.06824974219004;60.3951545159022;60.60051401456197;60.01871927579244;60.664903243382774;60.40577495098114
C1_4_8;60.64224376678467;60.23632016181946;60.22805900573731;60.54205746650696;60.041811323165895;60.66057333946228;60.48255252838135;60.54636373519897;60.494461107254025;60.92662453651428;60.45336675643921
C1_2_10;60.012232979138695;60.16740540663401;60.10022803147634;60.04872679710388;60.158502181371055;60.11647582054138;60.00965817769369;60.110258062680565;60.04917172590891;60.05888060728709;60.14515777428945
C1_2_9;60.054272174835205;60.10750460624695;60.097400546073914;60.16099472840627;60.100016593933105;60.052297512690224;60.04864732424418;60.14476418495178;60.056976874669395;60.08294936021169;60.15447541077932
C1_2_2;60.046221137046814;60.11404367287954;60.06208884716034;60.03453981876373;60.09546856085459;60.07429313659668;60.03241769472758;60.05533262093862;60.13541011015574;60.0933001836141;60.083940744400024
