Instance;PATH_CHEAPEST_ARC_and_GREEDY_DESCENT;SAVINGS_and_GREEDY_DESCENT;ALL_UNPERFORMED_and_GREEDY_DESCENT;PARALLEL_CHEAPEST_INSERTION_and_GENERIC_TABU_SEARCH;SWEEP_and_SIMULATED_ANNEALING
C1_6_2;60.98243800799052;62.01113510131836;0.2894542932510376;61.41472974088457;701.9953751564026
C1_4_7;45.90306214491526;34.240258998341034;36.986033415794374;43.95606197251214;36.4413276248508
C1_4_8;43.90765044424269;32.32703647348616;35.91463339328766;54.24544209904141;35.4150971836514
p6;28.161061143875123;27.93941731452942;27.945150804519653;14.06607558992174;38.34673357009888
p19;59.99846169948578;49.06235074996948;52.670657181739806;52.56387400627136;51.417577505111694
p5;16.006850290298463;16.238361644744874;16.258972215652467;20.00953483581543;6.687796211242675
p15;3.3536035776138307;2.9839686870574953;2.484865593910217;2.4643498182296755;2.4724263191223144
HFVRP_4;1.50076162815094;1.5292128801345826;2192.2556376457214;60.005404996871945;2192.2556376457214
C1_6_4;65.26378065347672;70.49001201987267;3387.6234340667725;60.41870492696762;3387.6234340667725
C1_6_5;62.45915341377258;63.42286992073059;26930.96466779709;389.9741770029068;26930.96466779709
HFVRP_p14;24.06038944721222;40.75014727115631;604.4549179077148;60.00556533336639;604.4549179077148
CVRP_p5;1.1455712795257569;1.6604105234146118;601.547839641571;60.00160219669342;601.547839641571
CVRP_p3;1.0575479507446288;0.7568049192428589;600.2617716789246;60.00189023017883;600.2617716789246
HFVRP_1;0.44851059913635255;0.7563261270523072;95472.83802509308;60.00079514980316;95472.83802509308
CVRP_p14;24.64432785511017;23.25461890697479;605.6669354438782;60.001589512825014;605.6669354438782
HFVRP_p3;0.8146838426589966;0.8334118843078613;600.2830266952515;60.000629568099974;600.2830266952515
HFVRP_p5;1.6808999061584473;2.0248012781143188;600.4956841468811;60.00210611820221;600.4956841468811
att48;0.1390425443649292;0.12283492088317871;0.1292424201965332;0.1392362117767334;0.12765038013458252
pr76;0.7824660778045655;1.218207550048828;1.2669536352157593;1.1757155418395997;1.2478468418121338
pr107;0.8697283029556274;1.5665799617767333;1.5670724630355835;1.3336470603942872;1.4424071073532105
st70;0.34074082374572756;0.31191747188568114;0.5734311580657959;0.8068880319595337;0.8130343198776245
