Instance;PATH_MOST_CONSTRAINED_ARC_and_TABU_SEARCH;SAVINGS_and_TABU_SEARCH;LOCAL_CHEAPEST_INSERTION_and_TABU_SEARCH;PATH_CHEAPEST_ARC_and_TABU_SEARCH;BEST_INSERTION_and_TABU_SEARCH;GLOBAL_CHEAPEST_ARC_and_TABU_SEARCH;ALL_UNPERFORMED_and_TABU_SEARCH;SWEEP_and_TABU_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_TABU_SEARCH;CHRISTOFIDES_and_TABU_SEARCH;LOCAL_CHEAPEST_ARC_and_TABU_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_TABU_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_TABU_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_TABU_SEARCH;EVALUATOR_STRATEGY_and_TABU_SEARCH
C1_2_3;14.14363272190094;16.136325454711915;15.916401505470276;15.08908932209015;14.39610652923584;15.345434546470642;14.96725661754608;11.274901840421888;17.353733038902284;14.57487919330597;14.533947491645813;17.53046360015869;14.71731162071228;16.87887849807739;12.520493030548096
C1_6_3;60.01156980991364;60.00840408802033;60.01340413093567;62.00867078304291;60.01586003303528;60.01826806068421;60.04014818668365;17300.07817029953;64.11047420501708;60.01100091934204;61.72185924053192;60.01747925281525;60.01081953048706;60.01294453144074;17300.07817029953
C1_2_10;12.630393862724304;11.600772047042847;13.07843632698059;16.0327020406723;12.317410373687744;16.33381071090698;14.425559449195863;9.786706791983711;15.824914193153381;13.359239983558655;13.25259530544281;13.015273094177246;14.670818328857422;13.368173527717591;8.166278653674656
C1_2_9;12.57209815979004;12.822482752799989;12.616175246238708;12.664862942695617;12.584627842903137;12.592949390411377;12.586009621620178;7.345042917463514;12.609661149978638;12.612703585624695;12.747711491584777;12.695743227005005;12.657090973854064;12.740836000442505;7.402477131949531
C1_2_6;60.00580608844757;60.002454376220705;60.004353046417236;60.023938822746274;60.0271915435791;60.00349476337433;60.00797617435455;602.4720215797424;60.00391387939453;60.01280107498169;60.03759377002716;60.01779704093933;60.02161796092987;60.009691548347476;602.4720215797424
C1_4_6;34.10392799377441;34.665918946266174;38.43093318939209;40.479852604866025;34.866247224807736;38.61432614326477;38.4585518360138;36.63318496280246;38.859054636955264;35.04032452106476;35.169080591201784;39.54262766838074;35.521981596946716;35.16221749782562;36.47065379884508
C1_4_4;60.00590295791626;60.00618493556976;60.01274743080139;60.00901267528534;60.03394002914429;60.01773681640625;60.01542601585388;601.1615228652954;60.00577166080475;60.007274460792544;60.01832225322723;60.009731602668765;60.00650091171265;60.00669436454773;601.1615228652954
C1_2_2;13.323906874656677;14.0113196849823;12.232655048370361;12.626761531829834;11.273978757858277;14.189912223815918;12.436556673049926;7.695367362764147;14.840080428123475;12.96280198097229;11.978494691848756;13.22707233428955;12.280020785331725;11.714717316627503;7.3036900361378985
C1_2_1;60.041129398345944;60.00317540168762;60.00809955596924;60.00260715484619;60.03182320594787;60.00770869255066;60.00658848285675;603.8272380828857;60.00395336151123;60.00504190921784;60.01243941783905;60.00328261852265;60.01678950786591;60.003481125831605;603.8272380828857
C1_4_3;52.157682752609254;55.93628811836243;44.78264291286469;55.73826653957367;51.07828736305237;49.631263971328735;50.61962506771088;53.80018745528327;48.311051321029666;52.906849932670596;51.0668060541153;54.99171133041382;48.04432120323181;54.034598207473756;49.88152575492859
