Instance;SWEEP_and_GUIDED_LOCAL_SEARCH;PATH_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH;ALL_UNPERFORMED_and_GUIDED_LOCAL_SEARCH;SAVINGS_and_GUIDED_LOCAL_SEARCH;BEST_INSERTION_and_GUIDED_LOCAL_SEARCH;CHRISTOFIDES_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;FIRST_UNBOUND_MIN_VALUE_and_GUIDED_LOCAL_SEARCH;LOCAL_CHEAPEST_COST_INSERTION_and_GUIDED_LOCAL_SEARCH;PARALLEL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;SEQUENTIAL_CHEAPEST_INSERTION_and_GUIDED_LOCAL_SEARCH;PATH_MOST_CONSTRAINED_ARC_and_GUIDED_LOCAL_SEARCH;EVALUATOR_STRATEGY_and_GUIDED_LOCAL_SEARCH;GLOBAL_CHEAPEST_ARC_and_GUIDED_LOCAL_SEARCH
C1_2_9;7.2858420213063555;15.166412234306335;12.720594763755798;12.5473158121109;12.701581954956055;12.827871441841125;12.823912072181702;12.548936247825623;12.567608165740968;12.756955432891846;12.5698828458786;12.717971324920654;12.642096018791198;7.2978273497687445;12.650012254714966
C1_2_6;602.4720215797424;60.01066505908966;60.00478596687317;60.00319347381592;60.0109619140625;60.00323073863983;60.00457303524017;60.013149690628055;60.004133749008176;60.00410969257355;60.003607869148254;60.004009699821474;60.013336873054506;602.4720215797424;60.026736164093016
C1_4_6;35.960137923558555;37.52726888656616;34.94830152988434;38.216996908187866;35.58534188270569;35.37504770755768;34.80970213413239;39.054571056365965;38.97388758659363;35.77261335849762;39.40719618797302;35.04056525230408;33.19344666004181;36.91154323683845;38.99196150302887
C1_4_4;601.1615228652954;60.005787920951846;60.01483957767486;60.02103490829468;60.00803246498108;60.025736689567566;60.007608962059024;60.0217827796936;60.006348395347594;60.01926417350769;60.004913210868835;60.00707218647003;60.00980548858642;601.1615228652954;60.016117334365845
C1_2_2;6.4079114066229925;12.813149404525756;14.443717288970948;12.749392533302307;12.231116342544556;11.204621958732606;14.102760624885558;13.834869575500488;11.957627511024475;13.49703915119171;13.485901498794556;12.464076018333435;12.048089027404785;6.17929646703932;14.519363903999329
C1_2_1;603.8272380828857;60.014594650268556;60.005517506599425;60.02418234348297;60.00366711616516;60.00949220657348;60.03844854831696;60.01237452030182;60.00411078929901;60.003159928321836;60.00388147830963;60.02127737998963;60.00514640808105;603.8272380828857;60.00424633026123
C1_4_3;49.73737096786499;57.94686162471771;49.87841691970825;47.7062664270401;50.08079183101654;47.473785161972046;54.15416533946991;52.635397863388064;51.75007860660553;48.97883036136627;47.34851722717285;54.54970035552979;51.07928676605225;49.12752056121826;53.0253963470459
C1_6_2;613.4853458404541;60.014630150794986;60.018759322166446;60.02717218399048;60.01343648433685;60.0196014881134;60.016646885871886;60.012951254844666;60.00873658657074;60.01371331214905;60.018950414657596;60.0114417552948;60.01589827537536;613.4853458404541;60.0239310503006
C1_4_7;48.1273901992374;34.02073493003845;28.663510870933532;37.93595790863037;36.98467483520508;41.5789336681366;44.045178508758546;36.028844475746155;36.227184653282166;29.802712202072144;31.533966398239137;28.376674151420595;43.85230400562286;44.387848721610176;31.476665878295897
C1_4_8;36.74784093432956;46.95446898937225;43.15972187519073;37.21588623523712;38.00062644481659;36.472201681137086;37.5357905626297;41.32794847488403;39.42239301204681;48.94345335960388;38.43587684631348;42.607362794876096;35.92907102108002;34.15113586849637;39.93979914188385
