Instance;BEST_INSERTION_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_CHEAPEST_ARC_and_SIMULATED_ANNEALING;CHRISTOFIDES_and_SIMULATED_ANNEALING;PARALLEL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;SEQUENTIAL_CHEAPEST_INSERTION_and_SIMULATED_ANNEALING;PATH_MOST_CONSTRAINED_ARC_and_SIMULATED_ANNEALING;SWEEP_and_SIMULATED_ANNEALING;SAVINGS_and_SIMULATED_ANNEALING;EVALUATOR_STRATEGY_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING;LOCAL_CHEAPEST_COST_INSERTION_and_SIMULATED_ANNEALING;FIRST_UNBOUND_MIN_VALUE_and_SIMULATED_ANNEALING;ALL_UNPERFORMED_and_SIMULATED_ANNEALING;GLOBAL_CHEAPEST_ARC_and_SIMULATED_ANNEALING
C1_2_3;16.699059391021727;14.602849507331848;14.021119976043702;14.506812262535096;14.476722145080567;14.489825129508972;16.72601387500763;9.172449429829916;14.166379356384278;9.420033163494534;16.97641079425812;14.56111557483673;14.511734747886658;14.231330060958863;14.041298460960387
C1_6_3;60.009415817260745;60.01474266052246;67.70729866027833;60.02440824508667;60.014953994750975;60.01234567165375;227.01453094482423;17300.07817029953;60.013387537002565;17300.07817029953;60.92486281394959;60.013774681091306;125.80956594944;60.04604074954987;60.03295753002167
C1_2_10;11.694398856163025;14.473485422134399;15.39881980419159;12.435320806503295;15.053341460227966;13.574470067024231;13.143259835243224;11.262252569198608;12.396734237670898;11.864917914072672;12.932365560531617;12.176093077659607;12.962025761604309;13.251790690422059;13.105260396003723
C1_2_9;12.652336406707764;12.767304754257202;12.63409674167633;12.666417932510376;12.662289476394653;12.675065279006958;12.532568264007569;7.304418643315633;12.55729546546936;7.2736394670274525;12.606824231147765;12.74579484462738;12.733542609214783;12.588296914100647;12.769376158714294
C1_2_6;60.003235054016116;60.01881678104401;60.00261769294739;60.010298776626584;60.0030158996582;60.04433798789978;60.002628326416016;602.4720215797424;60.019230818748476;602.4720215797424;60.00437698364258;60.01853220462799;60.005444049835205;60.019144368171695;60.020943307876585
C1_4_6;39.397059845924375;34.88952901363373;33.46782214641571;38.23550853729248;35.60153703689575;38.30430543422699;40.516384196281436;32.81331049071418;38.75388188362122;32.34737698237101;38.799594378471376;39.09072241783142;35.33315699100494;34.7534353017807;34.95577001571655
C1_4_4;60.02644302845001;60.0067896604538;60.005732727050784;60.00764424800873;60.007294631004335;60.012441062927245;60.005249524116515;601.1615228652954;60.00642645359039;601.1615228652954;60.02321710586548;60.00932748317719;60.006542563438416;60.01615281105042;60.014669513702394
C1_2_2;11.352678084373474;13.79588463306427;13.727406883239746;11.39682400226593;12.461456370353698;13.076998019218445;13.742685842514039;8.489689085218641;12.954851269721985;8.251322031021118;14.885258746147155;15.501028537750244;14.185814356803894;11.458482909202576;11.96702573299408
C1_2_1;60.00335569381714;60.00353446006775;60.007718443870544;60.017647814750674;60.00395622253418;60.01774230003357;60.00277397632599;603.8272380828857;60.01321437358856;603.8272380828857;60.02367074489594;60.02753322124481;60.00327396392822;60.00298385620117;60.003813529014586
C1_4_3;48.809841465950015;47.74505889415741;54.3712559223175;48.20259218215942;56.105644249916075;52.95199723243714;55.60861005783081;54.9468506442176;48.49542937278748;53.86700550715128;52.80986959934235;46.95469863414765;52.44779472351074;50.591735219955446;50.6323810338974
C1_6_2;60.00964527130127;60.01590447425842;60.01538314819336;60.01492393016815;60.0148430109024;60.01273283958435;60.01257376670837;613.4853458404541;60.012840962409975;613.4853458404541;60.02335321903229;60.01699483394623;60.01097974777222;60.028380966186525;60.036349749565126
C1_4_7;39.643683552742004;29.58652377128601;41.428262615203856;35.396718573570254;28.231147861480714;36.43206653594971;46.11073019504547;36.4413276248508;37.96751670837402;29.757216427061294;36.09677083492279;31.50518560409546;30.0283490896225;35.09484374523163;28.50571722984314
C1_4_8;48.5313236951828;39.32679080963135;38.83690049648285;36.123622107505795;37.691389536857606;43.746878790855405;39.157954359054564;35.4150971836514;36.658881759643556;32.441863192452324;33.64008390903473;38.57745041847229;41.02693178653717;38.42617452144623;34.642230010032655
